"","state_name","wet_1970","wet_1980","wet_1990","wet_2000","wet_2010","wet_2020","order","recovery","code"
"33","Alberta",246643.352469444,246576.777060509,246518.918838024,246467.600150585,246429.542088032,246397.2625103,1,"PPR",5
"3","Arkansas",25228.6867980957,20014.2235832214,18310.463596344,16959.4409332275,14581.0784053802,14494.7597465515,2,"MIS",3
"4","California",29299.7552005053,27741.3658297658,26213.0872413218,24721.673106201,23525.0937943459,22702.5971035957,3,"PAC",4
"7","Idaho",12799.7118930817,12632.2709312439,12497.3227005005,12381.1783690453,12308.7616071701,12288.3892345428,4,"PAC",4
"8","Illinois",35515.6486053467,31257.5339355469,27851.0986022949,25061.2157211304,23278.0238342285,22877.9059104919,5,"MIS",3
"18","Montana",32110.0086364746,31857.3732914925,31659.7940783501,31501.6743783951,31407.9931426048,31394.9874119759,6,"PPR",5
"25","Oregon",17214.6158766747,16981.8562874794,16775.4403543472,16569.1678299904,16434.4387559891,16390.4983472824,7,"PAC",4
"28","Texas",43499.7657575607,41227.5079441071,39237.7738723755,37339.3972287178,35951.3323206902,35301.6155092716,8,"GULF",2
"35","Manitoba",222242.510574341,221558.969474792,222918.470207214,223321.508621216,222265.185211182,223086.210601807,9,"PPR",5
"1","Alabama",9379.53834152222,9179.63994216919,9018.03931045532,8832.89595413208,8676.95176696777,8581.4534072876,10,"GULF",2
"10","Iowa",39263.2296295166,35327.6382446289,32211.4199523926,29809.5057830811,28543.9067840576,28467.9496765137,11,"MIS",3
"13","Louisiana",34819.241027832,32592.1798858643,30425.0260314941,28942.4362030029,29561.3976821899,30340.3737640381,12,"GULF",2
"15","Minnesota",72626.946855545,70000.8944244385,67886.8716335297,66202.8437786102,65199.1507549286,65081.3445415497,13,"PPR",5
"17","Missouri",13927.045337677,12265.7058124542,11063.0138721466,10048.7106781006,9387.52814674377,9206.55742931366,14,"MIS",3
"22","North Dakota",49794.0175552368,48915.2121887207,48211.0404129028,47692.0347671509,47404.5333786011,47397.9661331177,15,"PPR",5
"31","Wisconsin",37201.6305958629,36295.0703675151,35555.2423474193,34926.4639927745,34498.8228260875,34343.250708282,16,"MIS",3
"37","Saskatchewan",173969.814582825,173959.668655396,173948.999885559,173937.782264709,173929.699371338,173920.902984619,17,"PPR",5
"5","Colorado",11167.869977951,10993.4575777054,10842.9694314003,10699.6395635605,10591.4479870796,10530.9090466499,18,"CEN",1
"11","Kansas",7213.71952629089,6866.98097419739,6577.56282997131,6328.67009353638,6156.89790344238,6096.29340744019,19,"CEN",1
"27","Tennessee",5697.3021812439,5278.22805213928,4929.50878143311,4560.56511878967,4296.36645889282,4156.47572803497,20,"MIS",3
"26","South Dakota",39529.6665992737,39184.2819862366,38908.5229911804,38694.2025299072,38568.2806625366,38555.5374069214,21,"PPR",5
"32","Wyoming",12463.7306365967,12369.8755512238,12296.2020959854,12238.3481798172,12201.1056013107,12192.816324234,22,"CEN",1
"16","Mississippi",21545.0461730957,19843.4754943848,18476.2307357788,17416.7260665894,16805.139541626,16744.7574539185,23,"GULF",2
"19","Nebraska",19987.1174449921,19630.2940177917,19345.1964187622,19112.3102359772,18964.7072658539,18930.4171695709,24,"CEN",1
"36","Ontario",383061.220136139,378555.655280194,378882.751253258,378264.162457201,377072.871901275,376078.133019447,25,"MIS",3
"12","Kentucky",4516.43064880371,4272.92441749573,4086.20997238159,3865.68968582153,3682.62731742859,3565.59190177917,26,"MIS",3
"24","Oklahoma",5758.94894599915,5653.88249969482,5564.84497356415,5442.64074802399,5331.84388542175,5245.50892066956,27,"CEN",1
"30","Washington",16727.9972686768,16423.9557442665,16143.0939669609,15842.4592580795,15595.1512079239,15423.6989336014,28,"PAC",4
"34","British Columbia",68092.0910752192,68068.119984068,68040.6646343842,68006.7085484639,67975.4087210074,67944.926902093,29,"PAC",4
"21","New Mexico",8267.64389514923,8215.04937839508,8165.68474292755,8115.44055366516,8072.70697593689,8042.44452381134,30,"CEN",1
"9","Indiana",21036.0028762817,18043.4555587769,15609.6294193268,13619.2136459351,12420.2654190063,12244.3897595406,31,"MIS",3
"20","Nevada",11204.7487754822,11152.5942745209,11094.8365850449,11018.4517917633,10954.1190547943,10903.2426166534,32,"PAC",4
"29","Utah",16094.3147592545,15965.2851953506,15853.6504187584,15742.8634305,15664.5157566071,15622.8693933487,33,"PAC",4
"14","Michigan",41478.9591693878,39193.3833036423,38156.6887769699,36775.3303422928,35783.444940567,35626.3434429169,34,"MIS",3
"2","Arizona",7288.20710754395,7168.05735206604,7030.29892110825,6850.07812309265,6690.68055582047,6560.38366365433,35,"PAC",4
"23","Ohio",17076.322810173,14075.9219846725,11831.0942306519,10087.7139210701,8865.26501536369,8533.12021541595,36,"MIS",3
"38","Mexico",106880.655402422,103804.066594124,99191.1886255741,92761.0674300194,85462.9215948582,77604.6898603439,37,"GULF",2
"6","Florida",39187.1062927246,37228.0969390869,36769.2626342773,35503.7950744629,34616.3317565918,34342.529586792,38,"GULF",2
